1200	179619
56	413
1	0	24
2	0	87
3	0	33
4	0	92
5	0	51
0	6	59
7	0	79
8	0	61
0	9	58
0	10	50
11	0	3
0	12	92
0	13	43
14	0	27
15	0	41
0	16	1
17	0	63
18	0	66
0	19	85
20	0	77
0	21	44
22	0	21
23	0	5
0	24	34
25	0	71
0	26	7
27	0	59
0	28	65
0	29	26
30	0	83
31	0	68
32	0	24
0	33	24
0	34	85
35	0	33
36	0	65
0	37	73
38	0	32
39	0	68
40	0	81
0	41	96
42	0	36
0	43	21
0	44	36
45	0	42
46	0	5
47	0	26
48	0	25
49	0	21
0	50	32
0	51	32
52	0	5
53	0	29
0	54	72
55	0	39
0	56	89
0	57	42
58	0	16
0	59	64
0	60	41
0	61	82
0	62	35
0	63	61
64	0	34
65	0	21
0	66	81
0	67	21
0	68	91
69	0	3
70	0	4
71	0	77
72	0	78
73	0	85
0	74	58
75	0	38
0	76	21
0	77	11
0	78	85
0	79	40
80	0	8
0	81	96
82	0	55
83	0	48
84	0	48
0	85	70
86	0	47
0	87	85
0	88	98
0	89	84
0	90	44
91	0	32
0	92	28
93	0	54
94	0	5
95	0	3
0	96	40
97	0	76
0	98	41
0	99	50
0	100	51
101	0	49
102	0	44
103	0	98
0	104	100
0	105	62
106	0	1
0	107	82
108	0	25
0	109	54
0	110	59
111	0	13
112	0	30
113	0	40
0	114	86
0	115	48
0	116	56
0	117	80
118	0	38
119	0	38
120	0	47
0	121	73
0	122	74
0	123	6
0	124	60
125	0	95
0	126	25
0	127	12
128	0	84
129	0	100
130	0	1
131	0	32
0	132	69
133	0	56
0	134	36
0	135	70
136	0	15
137	0	46
138	0	56
0	139	77
140	0	34
141	0	47
142	0	70
0	143	79
144	0	95
0	145	58
0	146	74
147	0	77
0	148	54
149	0	70
150	0	20
0	151	80
0	152	22
153	0	10
0	154	62
155	0	91
0	156	75
157	0	67
158	0	81
159	0	78
0	160	100
0	161	25
162	0	26
0	163	7
164	0	38
0	165	39
166	0	47
0	167	75
0	168	15
169	0	45
170	0	41
171	0	75
172	0	7
0	173	35
174	0	11
175	0	51
176	0	31
0	177	8
0	178	34
179	0	71
0	180	43
0	181	56
0	182	86
0	183	61
184	0	94
185	0	10
0	186	30
187	0	19
188	0	87
189	0	97
0	190	72
0	191	38
0	192	11
193	0	35
0	194	16
195	0	10
196	0	28
197	0	14
0	198	93
0	199	7
200	0	20
201	0	19
202	0	8
0	203	55
204	0	11
0	205	65
206	0	53
207	0	25
0	208	58
0	209	37
210	0	15
